match_id,date,team_a,team_b,team_a_kills,team_b_kills,odds_home,odds_away,closing_odds_home,closing_odds_away,target
M_2140,2020-09-26,Brighton,Man United,2,3,4.75,1.72,5.1,1.78,0
M_2439,2020-09-26,Watford,Luton,1,0,1.7,5.25,1.71,5.7,1
M_2443,2020-09-26,Preston,Stoke,0,1,2.45,3.0,2.49,3.24,0
M_2442,2020-09-26,Derby,Blackburn,0,4,2.75,2.62,2.87,2.66,0
M_2441,2020-09-26,Cardiff,Reading,1,2,2.1,3.5,2.17,3.67,0
M_2440,2020-09-26,Wycombe,Swansea,0,2,4.75,1.75,5.15,1.76,0
M_2144,2020-09-27,Man City,Leicester,2,5,1.28,9.5,1.31,10.09,0
M_2145,2020-09-27,West Ham,Wolves,4,0,3.6,2.05,3.87,2.1,1
M_2445,2020-09-27,Bournemouth,Norwich,1,0,2.4,2.9,2.59,2.89,1
M_2444,2020-09-27,Bristol City,Sheffield Weds,2,0,2.55,2.87,2.79,2.74,1
M_2143,2020-09-27,Sheffield United,Leeds,0,1,2.7,2.62,2.83,2.63,0
M_2147,2020-09-28,Liverpool,Arsenal,3,1,1.45,6.5,1.5,6.53,1
M_2146,2020-09-28,Fulham,Aston Villa,0,3,2.9,2.5,2.98,2.54,0
M_2446,2020-10-02,Coventry,Bournemouth,1,3,3.7,2.1,3.7,2.14,0
M_2150,2020-10-03,Newcastle,Burnley,3,1,2.4,3.1,2.51,3.12,1
M_2148,2020-10-03,Chelsea,Crystal Palace,4,0,1.4,8.0,1.43,7.79,1
M_2447,2020-10-03,Norwich,Derby,0,1,1.65,5.0,1.71,5.09,0
M_2448,2020-10-03,Luton,Wycombe,2,0,1.72,5.0,1.78,4.96,1
M_2149,2020-10-03,Everton,Brighton,4,2,1.72,4.8,1.78,4.82,1
M_2451,2020-10-03,Reading,Watford,1,0,3.4,2.25,3.4,2.36,1
M_2452,2020-10-03,Swansea,Millwall,2,1,2.37,3.25,2.41,3.35,1
M_2449,2020-10-03,Middlesbrough,Barnsley,2,1,2.2,3.3,2.33,3.32,1
M_2450,2020-10-03,Nott'm Forest,Bristol City,1,2,2.62,2.7,2.73,2.81,0
M_2156,2020-10-04,Aston Villa,Liverpool,7,2,10.0,1.3,10.05,1.33,1
M_2155,2020-10-04,Man United,Tottenham,1,6,1.85,4.0,1.93,4.09,0
M_2154,2020-10-04,Wolves,Fulham,1,0,1.5,7.5,1.51,7.63,1
M_2153,2020-10-04,Arsenal,Sheffield United,2,1,1.57,6.0,1.56,6.73,1
M_2152,2020-10-04,Southampton,West Brom,2,0,1.72,4.75,1.78,4.71,1
M_2151,2020-10-04,Leicester,West Ham,0,3,1.61,5.25,1.7,4.94,0
M_2453,2020-10-04,Brentford,Preston,2,4,1.7,5.0,1.71,5.14,0
M_2454,2020-10-16,Derby,Watford,0,1,3.4,2.2,3.85,2.17,0
M_2455,2020-10-17,Birmingham,Sheffield Weds,0,1,2.62,2.87,2.77,2.85,0
M_2456,2020-10-17,Blackburn,Nott'm Forest,0,1,1.95,4.0,1.96,4.01,0
M_2457,2020-10-17,Brentford,Coventry,2,0,1.6,5.75,1.58,6.21,1
M_2458,2020-10-17,Luton,Stoke,0,2,3.1,2.4,3.3,2.36,0
M_2459,2020-10-17,Rotherham,Norwich,1,2,3.6,2.05,3.87,2.03,0
M_2460,2020-10-17,Swansea,Huddersfield,1,2,1.95,4.0,1.99,4.3,0
M_2461,2020-10-17,Wycombe,Millwall,1,2,5.0,1.75,5.35,1.77,0
M_2157,2020-10-17,Man City,Arsenal,1,0,1.44,6.5,1.51,6.36,1
M_2158,2020-10-17,Newcastle,Man United,1,4,4.75,1.66,4.87,1.74,0
M_2462,2020-10-18,Preston,Cardiff,0,1,2.25,3.3,2.27,3.45,0
M_2159,2020-10-18,Leicester,Aston Villa,0,1,1.83,4.1,1.93,4.1,0
M_2160,2020-10-19,Leeds,Wolves,0,1,2.5,2.87,2.55,3.07,0
M_2463,2020-10-20,Bristol City,Middlesbrough,0,1,2.3,3.25,2.43,3.19,0
M_2467,2020-10-20,Reading,Wycombe,1,0,1.45,7.5,1.49,7.37,1
M_2466,2020-10-20,Norwich,Birmingham,1,0,1.66,5.5,1.73,5.45,1
M_2465,2020-10-20,Millwall,Luton,2,0,2.05,3.9,2.1,4.0,1
M_2464,2020-10-20,Huddersfield,Derby,1,0,2.4,3.1,2.47,3.32,1
M_2469,2020-10-21,Sheffield Weds,Brentford,1,2,3.4,2.15,3.65,2.16,0
M_2468,2020-10-21,QPR,Preston,0,2,2.5,2.87,2.72,2.83,0
M_2470,2020-10-21,Watford,Blackburn,3,1,2.1,3.6,2.13,3.72,1
M_2161,2020-10-23,Aston Villa,Leeds,0,3,2.05,3.3,2.13,3.44,0
M_2472,2020-10-24,Huddersfield,Preston,1,2,2.8,2.6,2.95,2.61,0
M_2473,2020-10-24,Norwich,Wycombe,2,1,1.25,12.0,1.28,11.88,1
M_2163,2020-10-24,Liverpool,Sheffield United,2,1,1.22,12.0,1.25,12.96,1
M_2474,2020-10-24,Reading,Rotherham,3,0,2.0,3.75,2.04,4.19,1
M_2475,2020-10-24,Sheffield Weds,Luton,0,1,1.85,4.33,1.93,4.41,0
M_2476,2020-10-24,Stoke,Brentford,3,2,3.0,2.3,3.28,2.34,1
M_2162,2020-10-24,Fulham,Crystal Palace,1,2,2.75,2.7,2.8,2.86,0
M_2471,2020-10-24,Coventry,Blackburn,0,4,3.2,2.25,3.33,2.3,0
M_2164,2020-10-25,Southampton,Everton,2,0,2.75,2.55,2.84,2.58,1
M_2165,2020-10-25,Arsenal,Leicester,0,1,1.9,3.8,1.95,4.06,0
M_2166,2020-10-26,Burnley,Tottenham,0,1,5.75,1.6,5.63,1.66,0
M_2477,2020-10-27,Barnsley,QPR,3,0,2.37,3.2,2.4,3.25,1
M_2479,2020-10-27,Middlesbrough,Coventry,2,0,1.9,4.33,1.92,4.61,1
M_2478,2020-10-27,Blackburn,Reading,2,4,2.0,3.9,2.04,3.96,0
M_2480,2020-10-27,Swansea,Stoke,2,0,2.5,3.0,2.58,3.09,1
M_2481,2020-10-28,Preston,Millwall,0,2,2.3,3.4,2.43,3.44,0
M_2482,2020-10-28,Birmingham,Huddersfield,2,1,2.45,3.1,2.5,3.29,1
M_2483,2020-10-28,Bournemouth,Bristol City,1,0,1.8,4.5,1.87,4.42,1
M_2484,2020-10-28,Rotherham,Sheffield Weds,3,0,3.2,2.3,3.18,2.48,1
M_2485,2020-10-30,Coventry,Reading,3,2,3.25,2.3,3.3,2.41,1
M_2167,2020-10-30,Wolves,Crystal Palace,2,0,2.0,4.33,2.07,4.41,1
M_2170,2020-10-31,Liverpool,West Ham,2,1,1.36,7.5,1.4,8.03,1
M_2169,2020-10-31,Burnley,Chelsea,0,3,6.0,1.5,6.32,1.56,0
M_2486,2020-10-31,Bristol City,Norwich,1,3,3.5,2.1,3.64,2.15,0
M_2487,2020-10-31,Barnsley,Watford,1,0,3.3,2.25,3.47,2.32,1
M_2488,2020-10-31,Luton,Brentford,0,3,4.7,1.75,5.03,1.79,0
M_2489,2020-10-31,Middlesbrough,Nott'm Forest,1,0,2.4,3.2,2.48,3.35,1
M_2490,2020-10-31,Millwall,Huddersfield,0,3,2.0,4.2,2.02,4.38,0
M_2491,2020-10-31,Preston,Birmingham,1,2,2.1,3.8,2.18,3.83,0
M_2492,2020-10-31,QPR,Cardiff,3,2,3.0,2.45,3.14,2.54,1
M_2493,2020-10-31,Stoke,Rotherham,1,0,1.75,4.6,1.88,4.78,1
M_2494,2020-10-31,Swansea,Blackburn,2,0,2.3,3.1,2.43,3.05,1
M_2495,2020-10-31,Wycombe,Sheffield Weds,1,0,4.0,1.95,4.13,2.02,1
M_2168,2020-10-31,Sheffield United,Man City,0,1,9.5,1.28,9.8,1.33,0
M_2174,2020-11-01,Tottenham,Brighton,2,1,1.61,5.5,1.65,5.54,1
M_2172,2020-11-01,Newcastle,Everton,2,1,3.7,2.05,3.82,2.09,1
M_2171,2020-11-01,Aston Villa,Southampton,3,4,2.45,2.8,2.53,2.81,0
M_2173,2020-11-01,Man United,Arsenal,0,1,2.0,3.6,2.05,3.73,0
M_2175,2020-11-02,Fulham,West Brom,2,0,2.4,3.0,2.47,3.13,1
M_2176,2020-11-02,Leeds,Leicester,1,4,2.5,2.62,2.59,2.79,0
M_2498,2020-11-03,Cardiff,Barnsley,3,0,2.15,3.4,2.17,3.71,1
M_2497,2020-11-03,Sheffield Weds,Bournemouth,1,0,4.2,2.0,4.13,2.02,1
M_2496,2020-11-03,Huddersfield,Bristol City,1,2,2.62,2.8,2.68,3.0,0
M_2499,2020-11-04,Reading,Preston,0,3,2.5,2.9,2.62,3.01,0
M_2504,2020-11-04,Rotherham,Luton,0,1,2.37,3.2,2.49,3.21,0
M_2502,2020-11-04,Derby,QPR,0,1,2.3,3.2,2.33,3.29,0
M_2501,2020-11-04,Birmingham,Wycombe,1,2,1.7,5.5,1.72,5.54,0
M_2500,2020-11-04,Watford,Stoke,3,2,2.15,3.75,2.26,3.78,1
M_2503,2020-11-04,Nott'm Forest,Coventry,2,1,1.75,4.6,1.91,4.62,1
M_2505,2020-11-06,Cardiff,Bristol City,0,1,2.2,3.4,2.22,3.58,0
M_2177,2020-11-06,Southampton,Newcastle,2,0,2.0,3.7,2.08,3.8,1
M_2508,2020-11-07,Blackburn,QPR,3,1,1.9,4.0,1.98,4.09,1
M_2510,2020-11-07,Norwich,Swansea,1,0,2.05,3.75,2.18,3.79,1
M_2509,2020-11-07,Derby,Barnsley,0,2,2.5,3.0,2.57,2.99,0
M_2513,2020-11-07,Watford,Coventry,3,2,1.66,5.75,1.69,6.05,1
M_2507,2020-11-07,Birmingham,Bournemouth,1,3,3.8,2.05,3.91,2.12,0
M_2506,2020-11-07,Reading,Stoke,0,3,2.8,2.6,2.88,2.73,0
M_2178,2020-11-07,Everton,Man United,1,3,2.9,2.37,2.98,2.44,0
M_2511,2020-11-07,Nott'm Forest,Wycombe,2,0,1.66,5.75,1.72,5.85,1
M_2512,2020-11-07,Rotherham,Preston,2,1,3.2,2.3,3.38,2.35,1
M_2180,2020-11-07,Chelsea,Sheffield United,4,1,1.36,8.5,1.41,8.48,1
M_2181,2020-11-07,West Ham,Fulham,1,0,1.83,4.2,1.85,4.34,1
M_2179,2020-11-07,Crystal Palace,Leeds,4,1,2.87,2.45,2.99,2.52,1
M_2182,2020-11-08,West Brom,Tottenham,0,1,7.0,1.45,6.58,1.54,0
M_2184,2020-11-08,Arsenal,Aston Villa,0,3,1.65,5.0,1.7,5.27,0
M_2183,2020-11-08,Leicester,Wolves,1,0,2.3,3.25,2.47,3.35,1
M_2188,2020-11-21,Man United,West Brom,1,0,1.3,9.5,1.34,10.03,1
M_2187,2020-11-21,Tottenham,Man City,2,0,4.0,1.8,4.24,1.82,1
M_2186,2020-11-21,Aston Villa,Brighton,1,2,2.15,3.2,2.24,3.28,0
M_2185,2020-11-21,Newcastle,Chelsea,0,2,6.5,1.45,6.74,1.52,0
M_2520,2020-11-21,Swansea,Rotherham,1,0,1.7,5.25,1.73,5.35,1
M_2515,2020-11-21,Barnsley,Nott'm Forest,2,0,2.55,2.87,2.65,2.92,1
M_2516,2020-11-21,Bristol City,Derby,1,0,2.15,3.4,2.32,3.32,1
M_2517,2020-11-21,Middlesbrough,Norwich,0,1,2.87,2.55,2.9,2.65,0
M_2519,2020-11-21,Stoke,Huddersfield,4,3,2.0,4.0,2.07,4.08,1
M_2514,2020-11-21,Bournemouth,Reading,4,2,1.7,5.0,1.73,5.17,1
M_2518,2020-11-21,Preston,Sheffield Weds,1,0,2.35,3.2,2.45,3.24,1
M_2189,2020-11-22,Fulham,Everton,2,3,3.9,1.85,4.06,1.93,0
M_2191,2020-11-22,Liverpool,Leicester,3,0,1.85,3.8,1.88,3.84,1
M_2190,2020-11-22,Sheffield United,West Ham,0,1,3.0,2.4,3.2,2.48,0
M_2192,2020-11-23,Burnley,Crystal Palace,1,0,2.75,2.75,2.89,2.89,1
M_2523,2020-11-24,Barnsley,Brentford,0,1,3.5,2.1,3.63,2.19,0
M_2521,2020-11-24,QPR,Rotherham,3,2,2.05,3.6,2.12,3.64,1
M_2522,2020-11-24,Stoke,Norwich,2,3,2.9,2.45,3.2,2.45,0
M_2524,2020-11-24,Preston,Blackburn,0,3,2.55,2.75,2.74,2.79,0
M_2525,2020-11-24,Bournemouth,Nott'm Forest,2,0,1.66,5.25,1.66,5.59,1
M_2526,2020-11-25,Middlesbrough,Derby,3,0,1.9,4.5,1.96,4.61,1
M_2527,2020-11-25,Coventry,Cardiff,1,0,3.5,2.1,3.54,2.17,1
M_2528,2020-11-27,Brentford,QPR,2,1,1.65,5.5,1.66,5.88,1
M_2193,2020-11-27,Crystal Palace,Newcastle,0,2,2.05,3.75,2.18,3.84,0
M_2530,2020-11-28,Blackburn,Barnsley,2,1,1.9,4.2,1.9,4.38,1
M_2529,2020-11-28,Reading,Bristol City,3,1,2.5,2.9,2.48,3.15,1
M_2532,2020-11-28,Huddersfield,Middlesbrough,3,2,3.2,2.3,3.35,2.38,1
M_2195,2020-11-28,Everton,Leeds,0,1,1.95,3.6,2.07,3.64,0
M_2196,2020-11-28,West Brom,Sheffield United,1,0,2.6,2.8,2.66,2.99,1
M_2194,2020-11-28,Man City,Burnley,5,0,1.16,16.0,1.18,14.98,1
M_2533,2020-11-28,Watford,Preston,4,1,1.9,4.33,1.93,4.72,1
M_2531,2020-11-28,Cardiff,Luton,4,0,1.83,4.75,1.93,4.6,1
M_2534,2020-11-29,Nott'm Forest,Swansea,0,1,2.8,2.6,3.0,2.62,0
M_2197,2020-11-29,Southampton,Man United,2,3,4.0,1.95,3.94,2.02,0
M_2198,2020-11-29,Arsenal,Wolves,1,2,2.05,3.75,2.18,3.81,0
M_2199,2020-11-30,Leicester,Fulham,1,2,1.5,6.5,1.54,6.44,0
M_2200,2020-11-30,West Ham,Aston Villa,2,1,2.25,3.0,2.36,3.09,1
M_2538,2020-12-01,QPR,Bristol City,1,2,2.3,3.2,2.34,3.29,0
M_2536,2020-12-01,Birmingham,Barnsley,1,2,2.6,2.87,2.59,3.07,0
M_2535,2020-12-01,Cardiff,Huddersfield,3,0,1.9,4.2,1.93,4.38,1
M_2539,2020-12-01,Rotherham,Brentford,0,2,4.75,1.72,4.8,1.79,0
M_2537,2020-12-01,Bournemouth,Preston,2,3,1.61,5.75,1.66,5.84,0
M_2540,2020-12-02,Middlesbrough,Swansea,2,1,2.6,2.9,2.6,3.02,1
M_2541,2020-12-02,Blackburn,Millwall,2,1,2.0,3.8,2.06,3.78,1
M_2543,2020-12-02,Wycombe,Stoke,0,1,4.0,1.9,4.18,1.94,0
M_2542,2020-12-02,Luton,Norwich,3,1,3.25,2.15,3.28,2.22,1
M_2544,2020-12-04,Barnsley,Bournemouth,0,4,3.6,2.1,3.65,2.18,0
M_2545,2020-12-05,Reading,Nott'm Forest,2,0,2.3,3.25,2.37,3.42,1
M_2546,2020-12-05,Bristol City,Birmingham,0,1,2.2,3.4,2.28,3.5,0
M_2547,2020-12-05,Coventry,Rotherham,3,1,2.37,3.1,2.41,3.17,1
M_2548,2020-12-05,Huddersfield,QPR,2,0,2.37,3.0,2.46,3.09,1
M_2549,2020-12-05,Millwall,Derby,0,1,2.0,3.75,2.05,4.24,0
M_2551,2020-12-05,Stoke,Middlesbrough,1,0,2.55,2.9,2.73,2.98,1
M_2552,2020-12-05,Swansea,Luton,2,0,1.65,5.5,1.72,5.52,1
M_2553,2020-12-05,Watford,Cardiff,0,1,2.05,3.75,2.15,3.76,0
M_2550,2020-12-05,Norwich,Sheffield Weds,2,1,1.83,4.75,1.86,4.83,1
M_2202,2020-12-05,West Ham,Man United,1,3,3.6,2.0,3.75,2.06,0
M_2203,2020-12-05,Chelsea,Leeds,3,1,1.5,6.0,1.56,6.19,1
M_2201,2020-12-05,Man City,Fulham,2,0,1.1,19.0,1.13,23.63,1
M_2204,2020-12-06,West Brom,Crystal Palace,1,5,2.87,2.55,2.98,2.61,0
M_2205,2020-12-06,Sheffield United,Leicester,1,2,3.8,1.95,4.02,2.04,0
M_2206,2020-12-06,Tottenham,Arsenal,2,0,1.95,3.8,2.07,3.87,1
M_2207,2020-12-06,Liverpool,Wolves,4,0,1.5,6.5,1.54,7.17,1
M_2208,2020-12-07,Brighton,Southampton,1,2,2.45,2.9,2.56,2.93,0
M_2555,2020-12-08,Stoke,Cardiff,1,2,2.6,2.9,2.79,2.81,0
M_2554,2020-12-08,Huddersfield,Sheffield Weds,2,0,2.5,2.9,2.47,3.13,1
M_2556,2020-12-08,Watford,Rotherham,2,0,1.44,7.0,1.5,7.4,1
M_2561,2020-12-09,Reading,Birmingham,1,2,2.05,3.6,2.14,3.71,0
M_2557,2020-12-09,Preston,Middlesbrough,3,0,3.0,2.4,3.16,2.5,1
M_2558,2020-12-09,Barnsley,Wycombe,2,1,1.65,5.75,1.69,5.65,1
M_2559,2020-12-09,Bristol City,Blackburn,1,0,3.1,2.3,3.12,2.35,1
M_2560,2020-12-09,Norwich,Nott'm Forest,2,1,1.7,5.0,1.78,4.92,1
M_2209,2020-12-11,Leeds,West Ham,1,2,2.15,3.1,2.22,3.3,0
M_2570,2020-12-12,Rotherham,Bristol City,2,0,2.9,2.45,3.05,2.47,1
M_2569,2020-12-12,QPR,Reading,0,1,2.62,2.6,2.74,2.7,0
M_2568,2020-12-12,Nott'm Forest,Brentford,1,3,3.6,2.1,3.73,2.17,0
M_2567,2020-12-12,Middlesbrough,Millwall,3,0,2.15,3.4,2.3,3.52,1
M_2566,2020-12-12,Luton,Preston,3,0,2.87,2.45,2.88,2.65,1
M_2565,2020-12-12,Bournemouth,Huddersfield,5,0,1.53,6.0,1.59,5.83,1
M_2564,2020-12-12,Blackburn,Norwich,1,2,2.62,2.7,2.67,2.71,0
M_2211,2020-12-12,Newcastle,West Brom,2,1,2.45,3.0,2.62,2.95,1
M_2562,2020-12-12,Cardiff,Swansea,0,2,2.4,3.0,2.53,3.16,0
M_2571,2020-12-12,Sheffield Weds,Barnsley,1,2,2.6,2.8,2.7,2.93,0
M_2210,2020-12-12,Wolves,Aston Villa,0,1,2.25,3.25,2.4,3.28,0
M_2212,2020-12-12,Everton,Chelsea,1,0,4.33,1.7,4.52,1.76,1
M_2563,2020-12-12,Birmingham,Watford,0,1,4.0,2.0,4.03,2.09,0
M_2572,2020-12-12,Wycombe,Coventry,1,2,3.1,2.3,3.21,2.42,0
M_2214,2020-12-13,Arsenal,Burnley,0,1,1.53,6.25,1.54,6.84,0
M_2213,2020-12-13,Southampton,Sheffield United,3,0,1.7,5.0,1.73,5.07,1
M_2215,2020-12-13,Leicester,Brighton,3,0,2.0,3.8,2.06,3.91,1
M_2216,2020-12-15,Wolves,Chelsea,2,1,5.25,1.66,5.59,1.7,1
M_2576,2020-12-15,Nott'm Forest,Sheffield Weds,2,0,2.25,3.5,2.37,3.59,1
M_2575,2020-12-15,Bristol City,Millwall,0,2,2.75,2.75,2.82,2.84,0
M_2574,2020-12-15,Bournemouth,Wycombe,1,0,1.3,10.0,1.29,11.54,1
M_2573,2020-12-15,Barnsley,Preston,2,1,2.25,3.3,2.29,3.37,1
M_2581,2020-12-16,Reading,Norwich,1,2,3.2,2.25,3.31,2.32,0
M_2580,2020-12-16,Blackburn,Rotherham,2,1,1.57,6.5,1.6,6.43,1
M_2579,2020-12-16,Middlesbrough,Luton,1,0,1.75,5.25,1.82,5.08,1
M_2578,2020-12-16,Cardiff,Birmingham,3,2,1.95,4.2,2.01,4.34,1
M_2577,2020-12-16,Derby,Swansea,2,0,3.25,2.3,3.36,2.41,1
M_2218,2020-12-16,Leicester,Everton,0,2,2.15,3.25,2.23,3.37,0
M_2219,2020-12-16,Liverpool,Tottenham,2,1,1.75,4.5,1.81,4.64,1
M_2217,2020-12-16,Leeds,Newcastle,5,2,1.75,4.33,1.78,4.6,1
M_2220,2020-12-17,Sheffield United,Man United,2,3,7.0,1.44,7.35,1.47,0
M_2582,2020-12-18,Preston,Bristol City,1,0,2.2,3.4,2.26,3.44,1
M_2589,2020-12-19,Swansea,Barnsley,2,0,2.05,3.75,2.17,3.88,1
M_2583,2020-12-19,Norwich,Cardiff,2,0,1.9,3.9,1.99,3.86,1
M_2223,2020-12-19,Everton,Arsenal,2,1,2.45,2.8,2.5,2.99,1
M_2222,2020-12-19,Southampton,Man City,0,1,7.0,1.44,6.56,1.51,0
M_2221,2020-12-19,Crystal Palace,Liverpool,0,7,6.5,1.5,6.52,1.53,0
M_2586,2020-12-19,Huddersfield,Watford,2,0,3.6,2.05,3.74,2.15,1
M_2585,2020-12-19,Brentford,Reading,3,1,1.61,5.75,1.72,5.77,1
M_2584,2020-12-19,Birmingham,Middlesbrough,1,4,3.4,2.3,3.32,2.46,0
M_2588,2020-12-19,Stoke,Blackburn,1,0,2.7,2.6,2.76,2.69,1
M_2587,2020-12-19,Sheffield Weds,Coventry,1,0,2.45,3.0,2.44,3.06,1
M_2225,2020-12-20,Man United,Leeds,6,2,1.66,4.5,1.73,4.66,1
M_2224,2020-12-20,Tottenham,Leicester,0,2,2.05,3.6,2.1,3.79,0
M_2226,2020-12-20,West Brom,Aston Villa,0,3,3.6,1.95,3.82,2.0,0
M_2228,2020-12-21,Chelsea,West Ham,3,0,1.44,6.25,1.52,6.46,1
M_2227,2020-12-21,Burnley,Wolves,2,1,3.5,2.2,3.73,2.27,1
M_2591,2020-12-26,Bristol City,Wycombe,2,1,1.8,4.33,1.88,4.59,1
M_2596,2020-12-26,Watford,Norwich,1,0,2.55,2.8,2.68,2.86,1
M_2595,2020-12-26,Reading,Luton,2,1,2.05,3.6,2.09,3.9,1
M_2594,2020-12-26,QPR,Swansea,0,2,3.0,2.4,3.15,2.44,0
M_2593,2020-12-26,Derby,Preston,0,1,2.3,3.2,2.49,3.08,0
M_2592,2020-12-26,Cardiff,Brentford,2,3,3.3,2.2,3.37,2.3,0
M_2590,2020-12-26,Barnsley,Huddersfield,2,1,2.1,3.5,2.22,3.62,1
M_2232,2020-12-26,Sheffield United,Everton,0,1,4.2,1.85,4.26,1.94,0
M_2231,2020-12-26,Man City,Newcastle,2,0,1.11,19.0,1.14,22.92,1
M_2230,2020-12-26,Arsenal,Chelsea,3,1,4.0,1.9,4.14,1.94,1
M_2229,2020-12-26,Aston Villa,Crystal Palace,3,0,1.9,3.8,1.95,3.91,1
M_2233,2020-12-27,Leeds,Burnley,1,0,1.72,4.33,1.76,4.71,1
M_2236,2020-12-29,West Brom,Leeds,0,5,3.6,2.0,3.72,2.06,0
M_2237,2020-12-29,Man United,Wolves,1,0,1.53,6.25,1.53,5.94,1
M_2599,2020-12-29,Huddersfield,Blackburn,2,1,3.3,2.2,3.35,2.25,1
M_2601,2020-12-29,Preston,Coventry,2,0,2.25,3.5,2.32,3.49,1
M_2234,2020-12-29,Brighton,Arsenal,0,1,3.25,2.2,3.27,2.35,0
M_2597,2020-12-29,Birmingham,Derby,0,4,2.8,2.75,2.91,2.9,0
M_2598,2020-12-29,Sheffield Weds,Middlesbrough,2,1,3.8,2.15,3.89,2.23,1
M_2235,2020-12-29,Burnley,Sheffield United,1,0,2.37,3.25,2.45,3.31,1
M_2600,2020-12-29,Luton,Bristol City,2,1,2.15,3.6,2.25,3.58,1
M_2602,2020-12-29,Rotherham,Barnsley,1,2,3.8,2.05,3.91,2.15,0
M_2603,2020-12-29,Wycombe,Cardiff,2,1,4.2,1.95,4.2,2.0,1
M_2604,2020-12-30,Brentford,Bournemouth,2,1,2.4,2.9,2.56,2.93,1
M_2605,2021-01-01,Sheffield Weds,Derby,1,0,3.4,2.25,3.45,2.36,1
M_2239,2021-01-01,Man United,Aston Villa,2,1,1.72,4.2,1.78,4.52,1
M_2238,2021-01-01,Everton,West Ham,0,1,2.1,3.5,2.19,3.55,0
M_2611,2021-01-02,Swansea,Watford,2,1,2.75,2.75,2.89,2.75,1
M_2240,2021-01-02,Tottenham,Leeds,3,0,1.75,4.2,1.81,4.34,1
